x_pre;x_post;y_pre;y_post;r_pre;r_post;sz_pre;sz_post
11.5;11.5;611.5;608.5;6.199999809265137;6.900000095367432;0.0;0.0
373.5;373.5;613.5;610.5;6.199999809265137;6.900000095367432;0.0;0.0
57.5;56.5;611.5;608.5;7.0;6.900000095367432;0.0;0.0
192.5;192.5;612.5;609.5;6.900000095367432;6.900000095367432;0.0;0.0
238.5;237.5;612.5;609.5;7.0;6.900000095367432;0.0;0.0
419.5;418.5;613.5;610.5;6.900000095367432;6.900000095367432;0.0;0.0
147.5;146.5;612.5;609.5;7.0;6.199999809265137;0.0;0.0
464.5;463.5;613.5;610.5;6.900000095367432;6.199999809265137;0.0;0.0
509.5;509.5;613.5;611.5;6.900000095367432;6.199999809265137;0.0;0.0
283.5;282.5;612.5;609.5;6.900000095367432;6.199999809265137;0.0;0.0
102.5;101.5;611.5;609.5;23.0;23.0;1.0;1.0
328.5;328.5;612.5;610.5;23.0;23.0;1.0;1.0
554.5;554.5;613.5;611.5;23.0;23.0;1.0;1.0
